X	col0_fb1	col0_fb2	col0_leaf1	col0_leaf2	d234_fb1	d234_fb2
AT1G01010	0.52	1.55	1.57	3.62	2.18	1.65
AT1G01020	4.7	9.02	7.3	10.06	9.71	10.88
AT1G01030	2.33	3.83	3.14	5.86	4.32	6.05
AT1G01040	2.13	3.01	1.68	1.39	3.42	2.9
AT1G01046	1.31	0	0	0	0.89	0
AT1G01050	53.26	72.89	49.96	46.38	93.19	109.94
AT1G01060	0.69	0.92	0.36	2.27	2.24	1.65
AT1G01070	0.61	0.9	1.75	1.57	1.93	3.11
AT1G01080	16.37	26.53	40.74	33.48	36.04	37.48
AT1G01090	83.39	106.61	66.37	55	120.35	137.82
AT1G01100	467.19	788.19	158.47	329.41	1238.28	1348.25
AT1G01110	3.71	6.6	0.91	0.08	10.2	8.9
AT1G01120	6.22	14.01	39.82	33.82	11.83	14.33
AT1G01130	5.19	10.4	0.5	1.59	11.65	10.25
AT1G01140	22.3	37.5	70.53	53.12	49.36	43.59
AT1G01150	0.31	0.22	0	0	1.26	2.03
AT1G01160	23.3	36.08	18.59	13.44	47.09	45.87
AT1G01170	164.32	263.28	337.53	254.23	426.45	471.85
AT1G01180	1.39	1.27	15.74	7.08	1.7	3.23
AT1G01183	6.06	0	0	0	0	0
AT1G01190	0	0	1.77	0.2	0.06	0.1
AT1G01200	0.53	0.56	0.13	0	0.35	0.51
AT1G01210	11.99	24.4	8.14	9.04	29.89	33.89
AT1G01220	2.85	4.47	5.23	3.66	3.3	3.93
AT1G01225	2.56	3.92	1.19	0.47	6.31	4.92
AT1G01230	18.11	25.46	30.72	30.97	32.45	47.85
AT1G01240	10.53	11.93	43.63	27.83	14.94	20.06
AT1G01250	4.55	9.83	4.39	1.94	8.05	10.87
AT1G01260	2.86	4.4	3.31	3.29	5.76	7
AT1G01270	0	0	0	0	0	0
AT1G01280	3.99	6.07	0	0	8.27	9.33
AT1G01290	4.1	6.82	4.96	3.41	8.02	11.61
AT1G01300	47.29	74.47	17.23	11.59	86.17	81.77
AT1G01305	0.24	1.2	0	0	0	0.31
AT1G01310	22.74	31.95	0.17	0.53	9.46	12.16
AT1G01320	16.68	21.4	24.28	24.97	24	25.1
AT1G01335	0	0	0	0	0	0
AT1G01340	0.62	0.35	0.72	2.14	0.2	0.32
AT1G01350	7.39	14	8.62	6	14.61	17.26
AT1G01355	0.37	1.29	0.44	0.23	0.29	0.36
AT1G01360	7.69	15.43	14.85	12.01	26.43	26.45
AT1G01370	4.62	10.98	0.71	0.7	15.65	13.08
AT1G01380	0.81	0	0	0.99	0.4	0.18
AT1G01390	0	0	1.77	0.18	0.17	0.09
AT1G01400	0.23	0.71	0	0	0.65	1.07
AT1G01410	0	0	0	0	0	0
AT1G01420	0.08	0.09	1.35	1.24	0.17	0.17
AT1G01430	10.61	11.75	29.99	15.62	12.44	18.2
AT1G01440	2.81	3.2	5.83	4.29	3.7	4.85
AT1G01448	4.45	4.15	5.53	3.92	5.1	6.31
AT1G01450	0.32	0.83	0.8	0.36	0.18	0.48
AT1G01453	0	0	0	0	0	0
AT1G01460	3.3	4.89	0	0	0.72	1.33
AT1G01470	3.97	7.61	77.92	98.18	8.26	11.13
AT1G01480	0.07	0.06	0.08	0.71	0.12	0.13
AT1G01490	16.27	25.67	41.92	35.53	47.21	52.2
AT1G01500	15.19	16.43	11.66	12.45	13.75	14.98
AT1G01510	10.03	15.63	7.14	5.66	19.34	19.01
AT1G01520	0.19	0.09	0.12	0.25	0.23	0.06
AT1G01530	0	0	0	0.69	0	0.12
AT1G01540	12.61	17.4	21.57	14.41	20.02	26.85
AT1G01550	34.35	54.6	96.65	96.88	73.51	76.13
AT1G01560	0.08	1.24	0.2	6.31	1.09	0.75
AT1G01570	1.24	2.62	0.49	1.05	2.15	3.25
AT1G01580	0.28	0.44	0.64	0.49	0.49	1
AT1G01590	0.6	1.32	0.23	0.12	1.49	1.89
AT1G01600	22.42	27.87	0	0.07	22.81	48.96
AT1G01610	50.46	55.02	21.67	28.7	51.14	66.5
AT1G01620	220.14	336.49	223.22	236.64	445.4	567.98
AT1G01630	15.7	28.87	22.8	23.04	29.47	38.73
AT1G01640	1.3	2.65	1.7	1.2	1.97	2.81
AT1G01650	14.19	16.83	10.46	10.91	19.94	22.69
AT1G01660	0.67	0.51	0.15	0.16	0.95	0.62
AT1G01670	1.11	1.14	1.58	1.65	1.09	2.18
AT1G01680	0	0	0.27	8.66	0.27	0.29
AT1G01690	3.43	4.5	0.35	0.88	4.12	5.33
AT1G01695	0	0.4	0	0	0.06	0
AT1G01700	1.78	1.57	0.96	0.87	1.72	1.92
AT1G01710	7.1	12.55	13.37	8.93	15.27	15.91
AT1G01715	2.3	3.43	0.55	0.59	5.72	4.92
AT1G01720	11.55	14.28	15.09	24.09	21.08	25.73
AT1G01725	17.38	22.39	14.57	12.34	30.57	39.74
AT1G01730	15.76	24.17	15.54	14.63	33.2	32.42
AT1G01740	0.95	1	1.56	1.4	1.49	1.35
AT1G01750	0.59	1.14	0	0	0.8	0.87
AT1G01760	1.38	1.12	1.88	1.33	2.23	2.05
AT1G01770	4.55	6.33	7.95	5.82	5.45	6.66
AT1G01780	19.97	32.37	3.11	1.28	17.13	25.35
AT1G01790	8.28	11.28	24.94	11.22	10.31	11.11
AT1G01800	28.36	38.32	41.29	35.21	51.4	59.28
AT1G01810	0.66	2.24	0.26	1.09	2.1	4.1
AT1G01820	22.89	36.09	49.07	37.63	43.03	51.14
AT1G01830	9.82	12.77	6.67	4.73	12.62	15.67
AT1G01840	2.95	4.46	2.87	1.14	9.1	7.75
AT1G01860	4.38	5.7	10.67	7.44	6.81	7.98
AT1G01870	0	5	0	0	3.47	0
AT1G01880	2.1	3.46	0.67	0.7	2.59	3.77
AT1G01890	0	0	0	0	0	0
AT1G01900	1.27	2.33	0.09	0.7	1.26	2.51
AT1G01910	17.77	24.89	27.18	22.96	26.99	32.93
AT1G01920	5.41	10.52	2.97	2.59	9.87	10.83
AT1G01930	4.08	4	4.19	2.96	5.24	6.95
AT1G01940	10.35	16.69	6.14	6.5	25.21	22.86
AT1G01950	3.69	3.83	2.4	1.64	4.79	5.52
AT1G01960	8.68	11.52	8.01	7.51	11.58	11.13
AT1G01970	7.42	8.57	11.02	11.09	12.02	11.72
AT1G01980	5.55	13.71	0.48	0.08	2.26	1.69
AT1G01990	10.63	14.26	18.72	13.56	16.85	21.32
AT1G02000	20.13	25.03	5.54	4.47	9.58	12.71
AT1G02010	4.44	4.38	1.78	1.13	3.34	6.25
AT1G02020	5.51	5.44	7.57	5.76	5.5	4.71
AT1G02030	0.06	0.18	0.14	0.15	0.33	0.27
AT1G02040	3.31	3.45	0	0	1.53	5.44
AT1G02050	9.06	12.16	1.22	1.18	22.06	16.49
AT1G02060	0.6	1.57	1.31	1.1	2.44	1.57
AT1G02065	11.74	17.01	0	0	21.38	23.37
AT1G02067	9.27	15.34	0	0	8.8	9.56
AT1G02070	3.33	8.97	0	0.66	11.91	12.28
AT1G02080	5.8	7.9	4.14	4.16	8.26	7.76
AT1G02090	15.69	26.41	11.11	9.31	31.49	38.58
AT1G02100	11.68	14.01	16.8	11.25	19.72	19.66
AT1G02110	8.15	11.74	4.52	2.54	9.6	9.97
AT1G02120	6.71	11.11	20.92	15.54	10.96	12.64
AT1G02130	28.46	41.41	32.4	30.2	57.16	62.35
AT1G02136	0	0	0	0	0	0
AT1G02140	63.23	110.9	69.73	76.23	157.23	186.76
AT1G02145	4.53	8.17	5.64	5.79	8.21	10.55
AT1G02150	23	30.49	50.42	35.62	38.87	41.92
AT1G02160	45.41	77.67	47.69	48.12	112.73	118.4
AT1G02170	12.2	14.05	20.02	15.6	9.27	11.74
AT1G02180	9.76	16.37	2.46	1.31	21.36	22.46
AT1G02190	58.76	55.27	0	0.08	56.12	71.6
AT1G02205	178.21	158.5	11.68	32.21	137.76	184.38
AT1G02210	0	0	0	0	0	0
AT1G02220	0.08	0.08	0.79	3.64	0.39	0.37
AT1G02228	0	0	0	0	0	0
AT1G02230	0	0	0	1.04	0.29	0.18
AT1G02250	0	0	0	0	0	0.07
AT1G02260	4.76	4.12	3.35	2.81	4.06	6.03
AT1G02270	4.51	4.44	15.76	13.48	8.41	9.22
AT1G02280	44.41	71.22	37.15	39.22	90.29	100.4
AT1G02290	3.93	6.73	2.73	1.58	6.41	6.59
AT1G02300	5.78	8.86	19.51	12.61	9.88	11.28
AT1G02305	37.5	48.39	79.38	64.56	56.37	74.81
AT1G02310	0.09	0	0	0	0.45	0.54
AT1G02320	0	0	0	0	0	0
AT1G02330	12.79	19.3	13.19	11.72	31.3	28.59
AT1G02335	0.8	2.22	0.65	1.04	1.73	2.34
AT1G02340	2.16	5.06	1.81	2.64	6.83	11.65
AT1G02350	3.96	2.31	0.86	1.82	5.71	6.12
AT1G02360	0	0	8.29	8.33	0.28	0.24
AT1G02370	3.22	5.16	1.71	2.06	5.46	5.65
AT1G02380	1.65	1.82	1.32	4.07	3.32	3.94
AT1G02390	0.24	0.5	2.46	1.42	0.29	0.12
AT1G02400	0.09	1.31	3.11	10.96	0.73	0.73
AT1G02405	0	0.38	0.44	0.47	0.3	0.37
AT1G02410	10.15	18.42	13	11.68	23.26	28.57
AT1G02420	0.18	0.81	0.44	1.39	0.33	0.77
AT1G02430	0.37	0	0	0.25	0	0.43
AT1G02440	0	0	0	1.1	0.55	0.41
AT1G02450	3.76	8.52	0	7.8	5.92	9.77
AT1G02460	0.18	0.37	0.59	0.39	0.49	0.24
AT1G02470	3.74	7.45	4.54	2.71	6.54	8.47
AT1G02475	15.71	20.67	57.06	44.76	21.79	31.09
AT1G02480	0	0	0	0	0	0
AT1G02490	0	1.26	0	0	1.96	0.85
AT1G02500	104.35	151.08	121.29	109.31	176.38	213.08
AT1G02510	1.21	0.88	0	0	0.88	1.95
AT1G02520	0.72	1.1	0.07	0.11	1.69	1.95
AT1G02530	0.17	0.41	0	0	0.29	0.16
AT1G02540	0	0	0	0.2	0.25	0
AT1G02550	0	0	0	0	0.15	0
AT1G02560	82.74	105.93	265.79	199.81	131.35	153.92
AT1G02570	0	0	0	0	0	0
AT1G02575	0	0	0	0	0	0.08
AT1G02580	0.16	0.05	0	0	0.13	0.11
AT1G02590	0	0	0	0	0	0
AT1G02600	0	0	0	0	0	0
AT1G02610	7.67	15.78	52.22	36.1	22.2	28.06
AT1G02620	0	0.67	5.24	4.1	1.3	0.99
AT1G02630	0.83	0.95	0	0	0.74	0.43
AT1G02640	13.25	23.86	7.33	2.28	40.95	38.6
AT1G02650	0.66	1	0.94	0.9	0.73	0.79
AT1G02660	7.66	9.07	8.44	7.24	11.29	12.12
AT1G02670	0.79	1.64	0.13	0	1.52	1.97
AT1G02680	13.67	21.11	14.52	11.77	28.81	30.85
AT1G02681	0.24	0.24	0	0	0.56	0.47
AT1G02690	5.88	11	0.8	0.3	12.22	13
AT1G02700	0.09	0	0.35	0	0.23	0.25
AT1G02705	1.57	0.69	0.95	1.81	0	0
AT1G02710	0	0.77	1.93	0	1.02	0.44
AT1G02720	5.61	8.27	3.66	3.12	8.98	9.15
AT1G02730	5.5	10.33	0.27	0.16	10.66	10.43
AT1G02740	3.36	5.8	5.69	4.13	5.12	5.43
AT1G02750	7.94	10.35	10.41	9.73	14.13	16.28
AT1G02760	0	0	0	0	0	0
AT1G02770	0.63	0.54	0	0.27	0.85	1.76
AT1G02780	492.67	732.06	194.71	417.15	884.15	849.41
AT1G02790	242.59	303.67	3.14	1.17	122.97	224.74
AT1G02800	9.1	21.95	0.09	0.09	27.15	29.54
AT1G02810	1.66	2.06	0	0.08	1.75	2.15
AT1G02813	24.62	30.47	0	0	54.63	75.26
AT1G02816	7.89	13.21	7.8	5.99	14.87	22.38
AT1G02820	0.51	1.04	3.02	4.27	1.08	1.12
AT1G02830	0	0	0	0	0	0
AT1G02840	31.17	44.79	19.76	18.96	60.6	64.83
AT1G02850	6.1	6.5	5.54	5.25	7.76	9.5
AT1G02860	3.07	6.87	15.49	9.41	8.9	9.67
AT1G02870	18.68	36.04	10.05	11.87	41.85	46.73
AT1G02880	7.64	11.08	7.67	10.8	13.17	12.95
AT1G02890	6.56	9.33	10.65	6.48	9.2	9.25
AT1G02900	1.59	5.08	1.34	1.62	5.37	5.76
AT1G02910	10.71	14.7	32.13	25.22	16.86	19.36
AT1G02920	0	0	22.76	49.09	0	0.07
AT1G02930	1.64	4.31	28.84	148.06	12.59	6.17
AT1G02940	0.52	0.72	0	0	1.28	0.97
AT1G02950	0.89	1.08	1.08	0.18	1.15	2.76
AT1G02952	0	0	0	0	0.92	2.85
AT1G02960	3.47	6.24	6.35	3.95	7.97	7.29
AT1G02965	0	0	0	0	0	0
AT1G02970	1.11	1.99	0.25	0.43	1.93	2.65
AT1G02980	0.2	0.38	0	0	0.59	1.11
AT1G02990	3.05	4.54	3.2	3.06	4.63	5.5
AT1G03000	3.23	4.05	5.31	3.72	5.6	5.8
AT1G03010	0.05	0.24	0.31	0.07	0.27	0.13
AT1G03020	0.21	0.65	2.75	4.5	0.17	0.71
AT1G03030	4.25	7.24	4.9	3.39	8.3	10.55
AT1G03040	16.37	23.01	16.52	12.68	33.87	38.28
AT1G03050	18.07	23.63	0.49	0.29	5.8	10.1
AT1G03055	0.82	0.99	2.99	0.7	0.44	1.43
AT1G03060	2.45	2.96	1.23	1.96	3.02	3.06
AT1G03070	1.15	1.72	0.28	0.15	0.54	1.62
AT1G03080	5.97	9.44	8.11	6.25	12.1	12.67
AT1G03090	8.94	16.15	13.3	8.74	20.16	21.74
AT1G03100	0.65	1.41	0.77	1.05	0.9	0.96
AT1G03103	0	0	0	0	0	0
AT1G03106	0	0.3	0	0	0.23	0.1
AT1G03110	5.01	11.18	2.48	4.2	11.67	12.3
AT1G03120	1.86	2.54	0	0.29	2.01	2.76
AT1G03130	400.44	531.12	2200.14	1119.07	745.94	913.95
AT1G03140	16.98	26.21	26.49	20.92	35.05	36.9
AT1G03150	13.1	19.69	20.53	21.53	25.32	32.36
AT1G03160	11.83	14.13	22.56	19.28	15.44	17.41
AT1G03165	1.08	0	0.99	2.09	1.5	1.32
AT1G03170	3.69	6.8	0.13	0.21	4.75	9.81
AT1G03180	2.63	4.26	0.77	0.78	4.88	5.38
AT1G03190	2.14	2.62	1.12	1.63	2.7	3.62
AT1G03200	0.38	2.87	0.73	0.58	2.3	3.02
AT1G03210	7.46	11.66	6.96	11.97	12.78	14.58
AT1G03220	15.96	31.71	141.78	59.07	18.68	21.62
AT1G03230	7.57	14.28	18.41	9.83	13.88	12.53
AT1G03240	0.28	0	0	0	0.7	1.15
AT1G03250	9.54	12.54	13.06	7.11	15.36	19.21
AT1G03260	4.29	5.42	5.12	4.15	7.1	8.55
AT1G03270	2.53	3.48	0.88	1.03	3.93	3.82
AT1G03280	8.77	13.45	9.86	10.37	14.92	17.6
AT1G03290	10.31	12.87	9.38	13.96	16.78	22.79
AT1G03300	1.57	1.27	0.18	0	0	0
AT1G03310	6.17	5.97	14.72	8.27	5.78	7.67
AT1G03320	0	0.41	0.24	0	0.48	0.27
AT1G03325	0	0	0	0	0	0
AT1G03330	20.25	34.96	18.33	20.77	58.64	61.85
AT1G03340	0.67	1.66	2.7	2.09	1.44	1.3
AT1G03350	8.73	14.75	11.12	9.53	14.19	17.8
AT1G03360	6.94	12.18	1.67	3.54	15.41	15.25
AT1G03365	2.6	4.07	3.7	3.1	5.32	6.13
AT1G03370	1.36	3.05	5.7	5.79	2.45	2.62
AT1G03380	4.38	4.64	9.88	6.1	5.15	5.86
AT1G03390	0.41	1.15	0	0	0.76	0.72
AT1G03395	0	0	0	0	0	0
AT1G03400	3.75	4.7	12.59	13.46	6.06	5.08
AT1G03410	3.51	2.55	3.09	1.38	1.08	1.59
AT1G03420	9.47	18.42	20.17	6.23	36.05	32.4
AT1G03430	5.19	9.87	10.68	10.61	12.41	12.28
AT1G03440	4.44	6.62	4.74	1.98	7.19	9
AT1G03445	0.09	0.05	0	0	0.04	0.13
AT1G03457	2.84	4.74	0.67	0.64	4.9	5.61
AT1G03470	5.65	6.25	0.65	0.94	10.29	9.94
AT1G03475	40.71	61.73	77.02	64.12	63.1	62.33
AT1G03490	0	0.17	0	0	0	0.32
AT1G03495	1.28	0.27	1.14	1.75	1.07	0.67
AT1G03502	0	0	7.67	4.12	3.46	9.83
AT1G03506	0	0	0	0	8.87	8.78
AT1G03510	0.77	1.44	1.07	0.79	1.55	1.69
AT1G03515	0	0	0	0	0	0
AT1G03520	4.81	5.92	5.47	3.58	6.59	8.85
AT1G03530	2.43	4.28	1.83	1.83	4.16	4.81
AT1G03540	0.51	1.08	0.16	0.17	0.37	0.78
AT1G03545	0.7	0.84	0.66	0.66	0.83	0.95
AT1G03550	4.07	4.22	3	2.43	5.65	6.57
AT1G03560	1.35	2.04	2.24	2.37	2.15	2.52
AT1G03570	0	0	0	0	0	0
AT1G03580	0.65	0.92	3.15	2.67	0.61	0.61
AT1G03590	13.15	16.57	3.54	3.9	17.3	22.71
AT1G03600	88.9	128.89	286.01	171.31	194.95	214.37
AT1G03610	7.59	11.59	16.11	12.56	17.92	19.99
AT1G03620	2.39	3.08	0.69	0.26	1.7	2.7
AT1G03630	53.87	70.5	189.8	109.04	86.55	89.73
AT1G03640	0	0	0	0	0	0
AT1G03650	4.54	6.08	4.75	3.48	5.97	8.42
AT1G03660	1.46	2.3	0	0.44	2.35	1.48
AT1G03670	0	0	0	0	0	0.05
AT1G03680	216.09	229.6	650.33	434.8	321.05	373.49
AT1G03687	4.26	7.19	3.56	2.17	9.67	9.65
AT1G03700	0.33	1.17	0	0	0.65	0.11
AT1G03710	14.13	24.63	0	0.24	22.79	29.2
AT1G03720	0.6	0.92	0.2	0	0.36	0.5
AT1G03730	5.15	8.74	11.09	9.77	10.53	12.48
AT1G03740	3.15	3.24	21.15	14.21	3.18	3.72
AT1G03743	130.18	120.38	0	40.69	60.8	146.1
AT1G03746	34.58	192.36	0	22.02	195.8	194.55
AT1G03750	1.61	2.16	1.49	0.94	1.69	2.28
AT1G03760	5.7	7.59	1.94	3.13	10.82	8.65
AT1G03770	0.72	2.69	0.32	0.73	2.41	2.2
AT1G03780	4.88	9.08	0.06	0.06	11	10.29
AT1G03790	0.07	0.14	0	0	0.16	0.32
AT1G03800	0.1	0.63	0	0.26	1.22	0.61
AT1G03810	0.77	0.75	0	0	0.29	1.49
AT1G03820	3.35	6.37	5.95	39.92	4.6	5.92
AT1G03830	2.05	4.4	1.04	0.79	4.38	4.48
AT1G03840	0.21	0.37	0.16	0.62	0.32	0.75
AT1G03850	1.67	2.65	7.06	10.51	4.66	12.99
AT1G03860	24.03	44.52	21.84	24.81	47.76	55.31
AT1G03870	17.27	23.19	13.27	26.53	26.72	38.93
AT1G03880	0.08	0	0.1	0	0	0
AT1G03890	0	0	0	0	0	0.06
AT1G03900	23.57	38.33	26.75	24.27	41.28	42.78
AT1G03905	1.02	2.18	0.47	1.24	2.1	1.94
AT1G03910	11.6	18.09	14.16	11.08	18.26	21.56
AT1G03920	2.04	2.52	0	0.08	1.89	2.88
AT1G03930	3.61	4.78	13.77	8.54	5.02	6.54
AT1G03935	0	24.81	18.17	10.02	8.87	35.12
AT1G03940	0.57	2.06	0.69	1.22	2.16	1.35
AT1G03950	3.74	5.35	9.91	5.83	7.42	7.81
AT1G03960	3.92	3.77	3.69	2.89	4.33	4.25
AT1G03970	10.75	15.66	24.3	17.95	20.78	24.57
AT1G03980	0.33	0.45	0.13	0	0.15	0.21
AT1G03982	0	0	0	0	0	0
AT1G03987	0	0	0	0.81	0.56	0
AT1G03990	0.87	0.43	0.64	0.55	0.88	0.87
AT1G03993	1.08	1.41	0	0.48	3.68	3.7
AT1G03997	0	0	0	0	0.53	0
AT1G04000	6.99	11.62	10.87	7.41	18.74	17.18
AT1G04003	0	0	0	0	0	0
AT1G04007	1.05	1.71	0.39	1.23	2.4	2.03
AT1G04010	1.54	2.25	1.09	1.28	2.17	2.99
AT1G04013	0	2.5	5.21	4.59	0.65	3.97
AT1G04017	2.82	1.21	3.3	1.67	1.36	3.29
AT1G04020	2.6	3.58	0.99	1.97	4.29	3.51
AT1G04023	0	0	0.86	0	0.43	0.96
AT1G04027	0	0	0	0	0	0
AT1G04030	2.87	3.93	0.61	0.79	3.87	4.48
AT1G04033	0	0	0	0	0	0
AT1G04037	0	0	0.88	0	3.95	4.02
AT1G04040	8.08	9.39	57	61.01	6.59	11.06
AT1G04043	0	0	0	0	0	0
AT1G04047	0.36	1.06	0	0	1.38	0
AT1G04050	1.15	2.23	0.52	0.28	2.6	2.29
AT1G04053	0	0	0.3	0	0.8	1.16
AT1G04057	0	0	0	0	0.63	0.96
AT1G04063	0	0	0	0	0	0
AT1G04067	0	0	0	0	0	1.07
AT1G04070	11.98	24.94	5.83	9.26	31.11	34.94
AT1G04073	0	2.8	1.92	1.01	1.45	0.64
AT1G04077	1.44	1.88	0.83	0.6	0.52	0.21
AT1G04080	15.02	26.1	16.5	14.88	27.65	28.87
AT1G04083	0	0	0	1.59	0	0
AT1G04087	0	0	0	0	0	0
AT1G04090	0.99	1.1	0	0.23	0.86	2.06
AT1G04093	0	0	0	0	0.24	0.2
AT1G04097	0.61	0	0	0	0	0.38
AT1G04100	1.66	2.04	4.35	1.28	3.19	3.67
AT1G04103	0	0.16	0	0.41	0	0.27
AT1G04105	0	0	0	0	0	0.96
AT1G04107	15.29	25.14	17.19	22.46	40.7	44.81
AT1G04110	1.78	2.6	0.06	0.19	1.24	1.38
AT1G04117	0.39	2.45	1.2	0.99	1.94	2.08
AT1G04120	4.47	7.34	1.88	2.33	6.72	8.38
AT1G04123	0	0	0	0	0.48	0.36
AT1G04127	0	0	0	0	0	0
AT1G04130	4.99	5.83	2.7	2.94	8.24	7.63
AT1G04133	1.19	0	0	0	0.49	0
AT1G04137	0	0	0	0	0	0
AT1G04140	16.34	19.73	19.79	16.53	20.09	21.61
AT1G04143	0	0	0	0	0	0
AT1G04147	0.76	0	0	0.79	0.55	1.42
AT1G04150	0.32	1.34	0	0	0.78	0.67
AT1G04153	0	0.34	0.39	0.41	0	0
AT1G04157	0	0.99	0	0	0.77	0
AT1G04160	1.5	2.37	0.63	0.45	1.7	2.1
AT1G04163	0.02	0	0	0	0	0
AT1G04167	0	0	0	0	0	0
AT1G04170	22.46	41.61	17.26	21.82	45.01	44.02
AT1G04173	0	0	0	1.24	0	0
AT1G04177	0	0	0	0	0	0
AT1G04180	0	0	0.19	0	0	0
AT1G04183	0.14	0.29	0.46	0	1.57	1.85
AT1G04187	7.15	5.93	0	0	6.7	2.07
AT1G04190	7.86	17.77	5.54	9.28	21.48	21.72
AT1G04193	0	4.32	0	7.68	3.21	0
AT1G04197	2.91	4.87	4.38	2.32	7.38	6.76
AT1G04200	3.24	5.11	3.88	4.54	7.05	7.03
AT1G04203	0	0	0	0	0	0
AT1G04207	0	0	0	0	0	0
AT1G04210	6.14	8.61	4.79	4.48	8.15	9.18
AT1G04213	0	0	0	4.04	0	0
AT1G04217	2.96	9.9	13.32	7.06	7.5	17.2
AT1G04220	7.06	11.28	0.3	1.19	10.38	11.05
AT1G04223	5.29	12.96	3.59	0	19.25	3.03
AT1G04227	13.61	0	8.83	0	3.19	0
AT1G04230	3.52	5.69	6.06	3.93	6.56	9.29
AT1G04233	0	0	0	0	0	0
AT1G04237	0	0	0	0.71	0	0
AT1G04240	6.5	6.66	21.89	22.4	6.59	9.67
AT1G04243	0	0	0	0	0	0
AT1G04247	0.61	1.4	0	0.29	0.98	1.32
AT1G04250	2.91	3.24	19.19	18.3	3.72	6.62
AT1G04253	0	0	0	0	0	0
AT1G04257	0	0	0	0	0	0
AT1G04260	12.74	18.18	9.83	10.94	23.94	23.95
AT1G04263	24.59	10.65	3.23	4.74	41.41	15.61
AT1G04267	0	2.65	0	0	0	0
AT1G04270	376.6	569.81	139.92	310.38	764.9	760.06
AT1G04273	0	4.95	0	0	0	0
AT1G04277	9.37	7.82	0	4.93	5.91	5.44
AT1G04280	4.65	8.99	9.16	7.05	10.61	10.54
AT1G04283	0	0	0	0	0	0
AT1G04287	0	0	0	0	0	0
AT1G04290	13.34	21.21	10.6	7.59	33.63	30.28
AT1G04293	4	2.2	0	0	1.14	2.48
AT1G04295	1.89	1.02	0	0	1.98	0.9
AT1G04297	0.22	0.22	0	0.27	0.37	0.75
AT1G04300	6.73	8.8	10.77	6.06	11.15	12.61
AT1G04303	0	0	0.93	0	0	0
AT1G04307	0	0.71	0	0	0.56	0.24
AT1G04310	3.53	5.89	1.72	1.92	3.52	4.03
AT1G04313	0	0	0	0	0	0
AT1G04317	0.11	0.35	2.53	1.4	0.06	0.27
AT1G04320	0	0	0	0	0	0
AT1G04323	0	0	1.35	0	0.62	0.22
AT1G04327	0	0	0	0	0	0
AT1G04330	0	0.42	0	0	0.65	0.27
AT1G04333	0	0	0	0	0	0
AT1G04337	0	0	0	0	0	0
AT1G04340	12.87	24.45	6.46	10.43	32.68	37.5
AT1G04343	5.85	9.33	5.59	4.54	5.91	7.08
AT1G04347	1.24	0.8	0.45	0.47	0.62	0.27
AT1G04350	6	5.7	27.36	20.36	5.68	9.17
AT1G04353	0.4	0	0	0.77	0.62	0.42
AT1G04357	1.51	1.21	3.1	1.77	1.25	3.04
AT1G04360	0.14	0.6	2.94	1.6	0.41	1.01
AT1G04363	1.53	0	0	0	0	0
AT1G04367	0	0.23	0.28	0.27	0.17	0.14
AT1G04370	0	0	0	0	0	0
AT1G04373	0	0	0	0	0	0
AT1G04377	0	0	0	0	0	0
AT1G04380	0.08	0.35	0	0	0.11	0.27
AT1G04383	0	0	0	0	0	0
AT1G04387	0	0	0	0	0	0
AT1G04390	1.55	1.57	2.11	0.84	1.71	2.05
AT1G04393	0	0	0	0	0	0.27
AT1G04397	0	0	0	0	0	0
AT1G04400	31.11	45.15	70.27	47.55	52.73	62.97
AT1G04403	0	0	0	0	0	0
AT1G04407	0	0	0	0	0	0
AT1G04410	175.53	246.66	258.36	275.92	275.96	295.48
AT1G04413	0	0	0	0	0	0
AT1G04417	0	0	0	0	0	0
AT1G04420	26.62	32.21	81.06	42.35	38.67	45.95
AT1G04423	0	0	0	0	0	0
AT1G04425	0.71	4.52	0.39	0	6.79	5.52
AT1G04427	0	0	0	0	0	0
AT1G04430	17.77	27.39	25.94	30.74	28.94	34.4
AT1G04433	44.99	66.94	0	0	123.95	126.65
AT1G04437	0	0	0	0	0	0
AT1G04440	6.86	10.84	28.77	21.36	10.34	15.21
AT1G04443	0	0	0	0	0	0
AT1G04445	0	0	0	0	0	0.16
AT1G04447	0	0	0	0	0	0
AT1G04450	4.23	6.58	0	0	2.01	6.11
AT1G04453	0	0	0	0	0	0
AT1G04455	0	0	0	0	0	0.54
AT1G04457	0	0	0	0	0.74	0.23
AT1G04463	6.88	3.8	0	0	6.1	0.84
AT1G04467	2.04	2.33	10.18	7.59	1.3	2.2
AT1G04470	6.36	7.78	0.04	0.04	1.86	2.48
AT1G04473	0	0.66	0.37	0.79	0	0.43
AT1G04477	0.46	1.76	0.99	1.04	0.71	1.51
AT1G04480	62.43	110.87	22.37	40.41	133.54	124.95
AT1G04483	0	0	0	0	0	0
AT1G04487	0	0	10.21	0	1.26	3.09
AT1G04490	0.14	0.08	0.44	0.38	0.06	0.37
AT1G04493	0.57	0.97	0	0	0	0.76
AT1G04497	0	0.56	0	0.57	0.66	0.27
AT1G04500	1.19	0.58	0	0	0.76	1.13
AT1G04503	123.02	177.52	13.6	31.7	132.02	134.15
AT1G04507	0	0	0	0	0	0
AT1G04510	13.71	22.54	10.96	10.37	21.74	22.43
AT1G04513	0	1.42	1.21	1.36	0.08	0
AT1G04517	0	0	0	0	0	0
