X	col0_fb1	col0_fb2	col0_leaf1	col0_leaf2	d234_fb1	d234_fb2
AT5G23580	4.29	7.41	0.84	2.05	7.28	7.75
AT5G23590	8.52	14.98	9.07	9.06	20.18	20.06
AT5G23600	0	0	0.18	0	0	0
AT5G23610	10.41	15.16	9.87	8.17	16.74	16.4
AT5G23630	9.11	12.12	7.17	8.62	13.63	13.05
AT5G23650	0	0	0	0	0	0
AT5G23660	8.62	16.53	22.62	35.01	17.7	22.99
AT5G23665	0	0	0	0	0	23.02
AT5G23670	13.61	19.16	15.66	9.71	21.44	23.93
AT5G23680	3.92	8.17	5.34	4.02	11.43	11.46
AT5G23690	2.46	5.32	1.74	2.52	5.04	5.79
AT5G23700	0.72	0.56	0	0.08	1.11	0.96
AT5G23710	2.85	5.96	4.72	4.95	7.4	10.35
AT5G23720	2.66	3.44	2.12	1.34	3.56	3.46
AT5G23730	2.38	3.01	1.22	1.08	3.76	4.83
AT5G23740	220.24	320.16	70.4	145.76	419.17	405.19
AT5G23750	10.39	15.78	9.98	9.94	20.49	30.07
AT5G23760	16.12	35.2	15.54	18.11	46.19	58.51
AT5G23770	1.03	0.75	0.79	0.41	1.65	2.47
AT5G23780	1.31	1.92	0	0	3.22	2.6
AT5G23790	0.2	0.52	0	0	0.98	2.16
AT5G23800	0.94	2.08	0.63	0.42	2.16	1.96
AT5G23810	2.15	5.11	1.92	0.87	4.3	3.99
AT5G23820	10.96	22.85	13.22	6.76	16.94	26.55
AT5G23830	0.45	0.55	0	0	0.14	0
AT5G23840	0	0	0	0	0	0.1
AT5G23850	3.34	4.43	1.22	4.7	4.07	5.91
AT5G23860	23.26	32.39	8.9	8.02	28.79	36.72
AT5G23870	3.89	5	9.47	5.78	4.55	6.03
AT5G23880	3.97	8.02	3.01	2.02	7.17	7.66
AT5G23890	11.58	15.33	11.07	10.18	17.33	17.71
AT5G23900	120.89	205.02	59.57	93.94	241.57	258.93
AT5G23903	0	0	0	0	0	0
AT5G23908	0	0	0	0	0	0
AT5G23910	2.41	4.56	0.23	0.18	7.27	6.8
AT5G23920	13.8	15.93	17.91	15.72	20.38	22.2
AT5G23930	0.71	0.52	0.35	0.28	0.76	0.96
AT5G23940	114.01	153.54	1.35	0.25	145.29	206.69
AT5G23950	0.23	0.54	0.8	2.54	0.43	0.09
AT5G23955	0.68	1.15	2.17	1.23	1.25	1.4
AT5G23960	0.07	2.67	0	0	0.84	0.57
AT5G23970	5.19	8.92	0	0	3.36	5.87
AT5G23980	0.05	0.11	8.42	4.88	0.04	0.07
AT5G23990	0	0	0	0.08	0	0
AT5G24000	2.64	6.28	3.49	3.49	5.99	6.33
AT5G24010	3.3	3.68	1.54	0.62	3.88	3.66
AT5G24020	12.73	20.59	9.61	14.16	24.02	25.86
AT5G24030	3.3	2.81	5.14	5.54	3.16	3.44
AT5G24040	0	0	0	0	0	0
AT5G24050	0	0	0	0	0.1	0
AT5G24060	3.9	5.62	7.49	5.77	5.79	5.56
AT5G24065	0.24	1.43	1.1	3.51	1.49	0.47
AT5G24070	0	0	0	0	0	0
AT5G24080	0	0	0.74	4.81	0	0
AT5G24090	1.32	2.11	0	0.4	4.54	6.77
AT5G24100	0.05	0.05	0	0	0.17	0.28
